Node,Relative Closeness,Rank
1337,0.0009914578406402877,175.0
616,0.0009894643957307184,176.0
49,0.0009887860209176133,177.0
1423,0.000986713187213551,178.0
387,0.000985093425099171,179.0
187,0.0009811985816022947,180.0
904,0.0009724480305194148,181.0
1339,0.0009677935726960081,182.0
1179,0.0009672523074783538,183.0
1169,0.0009628155127055052,184.0
1414,0.0009589503574354075,185.0
997,0.0009468619037484023,186.0
1290,0.0009462192845125499,187.0
575,0.0009438456894439827,188.0
1419,0.0009413023888424637,189.0
99,0.0009378419751377774,190.0
884,0.0009298870781716982,191.0
203,0.0009296506989252528,192.0
1386,0.0009266638064997669,193.0
1482,0.0009256591549991261,194.0
879,0.0009206287686412706,195.0
762,0.0009149481865209602,196.0
942,0.0009139321934471785,197.0
298,0.0009135232078409938,198.0
9,0.0009134011548064998,199.0
