Node,Score,Rank
829,0.003516481,359.0
1094,0.003516481,359.0
601,0.003516481,359.0
903,0.003516481,359.0
754,0.003516481,359.0
509,0.003516481,359.0
996,0.003516481,359.0
867,0.003516481,359.0
335,0.003516481,359.0
849,0.003516481,359.0
973,0.003515449,360.0
1030,0.003514933,361.0
956,0.003514933,361.0
921,0.003514933,361.0
888,0.003514933,361.0
961,0.003514933,361.0
1130,0.003514933,361.0
900,0.003514933,361.0
898,0.003514933,361.0
371,0.003514933,361.0
86,0.003514933,361.0
1125,0.003514933,361.0
699,0.003514933,361.0
479,0.003514933,361.0
995,0.003514933,361.0
1119,0.003514933,361.0
963,0.003514933,361.0
1024,0.003514933,361.0
318,0.003514933,361.0
878,0.003514933,361.0
1113,0.003514933,361.0
374,0.003511836,362.0
375,0.003511836,362.0
234,0.003510804,363.0
1019,0.003508739,364.0
25,0.003505642,365.0
28,0.003505642,365.0
800,0.003487061,366.0
1104,0.003471227,367.0
256,0.003431871,368.0
870,0.003374905,369.0
1069,0.003327806,370.0
29,0.003299384,371.0
342,0.003284667,372.0
346,0.003190243,373.0
752,0.003073458,374.0
381,0.003038728,375.0
386,0.003037834,376.0
7,0.003000122,377.0
484,0.002986383,378.0
286,0.002946775,379.0
1051,0.002933282,380.0
96,0.002924525,381.0
483,0.002878676,382.0
930,0.002850871,383.0
448,0.002816584,384.0
1112,0.002800178,385.0
288,0.002753737,386.0
518,0.00274887,387.0
400,0.002708658,388.0
727,0.002707182,389.0
728,0.002707182,389.0
379,0.002644607,390.0
236,0.00263749,391.0
597,0.002632329,392.0
591,0.002632329,392.0
432,0.002628463,393.0
308,0.002621799,394.0
815,0.002604077,395.0
453,0.002564,396.0
191,0.002552415,397.0
798,0.002547318,398.0
729,0.002532988,399.0
1110,0.002530287,400.0
695,0.002503867,401.0
1061,0.002476584,402.0
612,0.002474003,403.0
810,0.002453496,404.0
1055,0.002444212,405.0
689,0.002375817,406.0
759,0.002348603,407.0
486,0.002328501,408.0
871,0.002278728,409.0
255,0.002244121,410.0
773,0.00224285,411.0
679,0.00223907,412.0
913,0.002236883,413.0
485,0.002232728,414.0
629,0.002213553,415.0
55,0.002205091,416.0
908,0.002200882,417.0
746,0.002198942,418.0
684,0.002195511,419.0
704,0.00216642,420.0
610,0.002165069,421.0
700,0.002128808,422.0
862,0.002121955,423.0
757,0.002095983,424.0
113,0.002085971,425.0
999,0.002022582,426.0
677,0.0020149,427.0
854,0.00201368,428.0
797,0.002012424,429.0
718,0.002007162,430.0
805,0.001986926,431.0
841,0.001926262,432.0
919,0.001905914,433.0
758,0.001888204,434.0
434,0.001856273,435.0
461,0.001835883,436.0
1091,0.001827496,437.0
766,0.001817565,438.0
794,0.001815312,439.0
803,0.001812307,440.0
467,0.001807145,441.0
772,0.001796435,442.0
295,0.0017905,443.0
218,0.001786887,444.0
562,0.00177113,445.0
1031,0.001765209,446.0
376,0.001762112,447.0
844,0.001759789,448.0
215,0.001759531,449.0
98,0.001759015,450.0
1015,0.001759015,450.0
787,0.001759015,450.0
575,0.001759015,450.0
881,0.001759015,450.0
566,0.001759015,450.0
108,0.001759015,450.0
567,0.001759015,450.0
1016,0.001759015,450.0
955,0.001759015,450.0
564,0.001759015,450.0
1039,0.001759015,450.0
958,0.001759015,450.0
879,0.001759015,450.0
960,0.001759015,450.0
88,0.001759015,450.0
672,0.001759015,450.0
1017,0.001759015,450.0
1028,0.001759015,450.0
1132,0.001759015,450.0
40,0.001759015,450.0
927,0.001759015,450.0
884,0.001759015,450.0
329,0.001759015,450.0
1126,0.001759015,450.0
1029,0.001759015,450.0
1124,0.001759015,450.0
621,0.001759015,450.0
1035,0.001759015,450.0
1121,0.001759015,450.0
404,0.001759015,450.0
842,0.001759015,450.0
1097,0.001759015,450.0
613,0.001759015,450.0
920,0.001759015,450.0
840,0.001759015,450.0
1114,0.001759015,450.0
639,0.001759015,450.0
1022,0.001759015,450.0
599,0.001759015,450.0
776,0.001759015,450.0
1012,0.001759015,450.0
423,0.001759015,450.0
887,0.001759015,450.0
733,0.001759015,450.0
981,0.001759015,450.0
1009,0.001759015,450.0
212,0.001759015,450.0
1010,0.001759015,450.0
186,0.001759015,450.0
902,0.001759015,450.0
809,0.001759015,450.0
503,0.001759015,450.0
500,0.001759015,450.0
989,0.001759015,450.0
725,0.001759015,450.0
974,0.001759015,450.0
265,0.001759015,450.0
1070,0.001759015,450.0
971,0.001759015,450.0
482,0.001759015,450.0
721,0.001759015,450.0
897,0.001759015,450.0
469,0.001759015,450.0
475,0.001759015,450.0
966,0.001759015,450.0
157,0.001759015,450.0
964,0.001759015,450.0
997,0.001759015,450.0
703,0.001759015,450.0
271,0.001756692,451.0
268,0.001756692,451.0
828,0.001755918,452.0
826,0.001755918,452.0
992,0.001745466,453.0
550,0.001743531,454.0
938,0.001738885,455.0
606,0.001727465,456.0
207,0.00170566,457.0
462,0.001700728,458.0
813,0.001699529,459.0
818,0.001688045,460.0
671,0.001650754,461.0
26,0.00164926,462.0
951,0.001640914,463.0
473,0.001577498,464.0
4,0.001536973,465.0
409,0.001515545,466.0
205,0.001482878,467.0
589,0.001461832,468.0
443,0.001452368,469.0
449,0.001427953,470.0
447,0.001427953,470.0
925,0.001377009,471.0
907,0.001352231,472.0
116,0.00134669,473.0
49,0.001309842,474.0
203,0.001070243,475.0
21,0.001056658,476.0
1067,0.001035252,477.0
644,0.001010458,478.0
804,0.001001506,479.0
1109,0.000998117,480.0
941,0.000964518,481.0
428,0.000921568,482.0
228,0.000904872,483.0
690,0.000897837,484.0
269,0.000879507,485.0
581,0.000878733,486.0
580,0.000878733,486.0
273,0.000877959,487.0
299,0.000877443,488.0
516,0.000876411,489.0
246,0.000875636,490.0
301,0.00087383,491.0
290,0.000852594,492.0
524,0.000840903,493.0
452,0.000838035,494.0
939,0.000798032,495.0
472,0.000789781,496.0
267,0.000787727,497.0
812,0.000777896,498.0
9,0.000775012,499.0
780,0.000772477,500.0
1077,0.000737931,501.0
179,0.000724941,502.0
914,0.000691525,503.0
393,0.000674936,504.0
910,0.000650105,505.0
923,0.000648292,506.0
1085,0.000636722,507.0
1117,0.000583606,508.0
683,0.000568169,509.0
493,0.000553793,510.0
795,0.000509477,511.0
762,0.000495199,512.0
523,0.00048893,513.0
1053,0.000484047,514.0
942,0.000461218,515.0
935,0.000459928,516.0
206,0.00045318,517.0
455,0.000434877,518.0
262,0.000426593,519.0
1050,0.000423948,520.0
943,0.000403631,521.0
1001,0.000398949,522.0
248,0.000378333,523.0
874,0.000376876,524.0
1,0.000369659,525.0
421,0.000278696,526.0
515,0.000251033,527.0
514,0.000251033,527.0
513,0.000251033,527.0
827,0.00024912,528.0
917,0.000245013,529.0
1111,0.000239232,530.0
5,0.000229303,531.0
741,0.000227183,532.0
911,0.000205141,533.0
944,0.000188178,534.0
247,0.000186261,535.0
918,0.000182513,536.0
915,0.000166546,537.0
2,0.000150714,538.0
441,0.000149726,539.0
422,0.0001425,540.0
764,0.000128422,541.0
451,0.000123386,542.0
1057,0.000108191,543.0
490,0.000108158,544.0
743,0.000106713,545.0
731,9.8e-05,546.0
158,9.75e-05,547.0
823,9.55e-05,548.0
489,7.7e-05,549.0
737,6.94e-05,550.0
986,6.55e-05,551.0
934,6.41e-05,552.0
1105,6.32e-05,553.0
521,6.14e-05,554.0
799,5.79e-05,555.0
801,5.79e-05,555.0
533,4.95e-05,556.0
466,4.89e-05,557.0
440,4.71e-05,558.0
435,4.21e-05,559.0
1092,4.03e-05,560.0
272,3.97e-05,561.0
172,3.61e-05,562.0
426,3.34e-05,563.0
916,3.25e-05,564.0
296,3.15e-05,565.0
402,3.15e-05,565.0
492,2.74e-05,566.0
977,2.52e-05,567.0
460,2.48e-05,568.0
931,2.48e-05,568.0
936,2.35e-05,569.0
230,2.19e-05,570.0
791,2.04e-05,571.0
306,1.87e-05,572.0
948,1.86e-05,573.0
1076,1.73e-05,574.0
792,1.63e-05,575.0
796,1.63e-05,575.0
770,1.13e-05,576.0
535,1.01e-05,577.0
933,7.74e-06,578.0
937,7.74e-06,578.0
940,6.63e-06,579.0
749,6.19e-06,580.0
924,5.01e-06,581.0
387,3.1e-06,582.0
517,3.1e-06,582.0
302,3.1e-06,582.0
56,3.1e-06,582.0
266,2.32e-06,583.0
300,2.06e-06,584.0
1071,1.55e-06,585.0
738,1.55e-06,585.0
292,7.74e-07,586.0
498,7.74e-07,586.0
496,5.16e-07,587.0
1041,5.16e-07,587.0
495,5.16e-07,587.0
863,0.0,588.0
1102,0.0,588.0
1068,0.0,588.0
1129,0.0,588.0
1131,0.0,588.0
1066,0.0,588.0
1100,0.0,588.0
1118,0.0,588.0
1101,0.0,588.0
1065,0.0,588.0
873,0.0,588.0
1064,0.0,588.0
872,0.0,588.0
1116,0.0,588.0
1063,0.0,588.0
1062,0.0,588.0
1060,0.0,588.0
1103,0.0,588.0
1059,0.0,588.0
1115,0.0,588.0
1106,0.0,588.0
1107,0.0,588.0
1137,0.0,588.0
1099,0.0,588.0
1133,0.0,588.0
1073,0.0,588.0
875,0.0,588.0
1093,0.0,588.0
869,0.0,588.0
1090,0.0,588.0
1095,0.0,588.0
1058,0.0,588.0
1087,0.0,588.0
1083,0.0,588.0
1123,0.0,588.0
1108,0.0,588.0
1082,0.0,588.0
1081,0.0,588.0
1134,0.0,588.0
1096,0.0,588.0
1128,0.0,588.0
1080,0.0,588.0
1135,0.0,588.0
1136,0.0,588.0
1079,0.0,588.0
1122,0.0,588.0
1120,0.0,588.0
1078,0.0,588.0
1098,0.0,588.0
1075,0.0,588.0
1074,0.0,588.0
865,0.0,588.0
1032,0.0,588.0
880,0.0,588.0
967,0.0,588.0
970,0.0,588.0
972,0.0,588.0
975,0.0,588.0
976,0.0,588.0
979,0.0,588.0
980,0.0,588.0
982,0.0,588.0
983,0.0,588.0
984,0.0,588.0
985,0.0,588.0
988,0.0,588.0
901,0.0,588.0
990,0.0,588.0
991,0.0,588.0
998,0.0,588.0
968,0.0,588.0
965,0.0,588.0
1054,0.0,588.0
962,0.0,588.0
922,0.0,588.0
926,0.0,588.0
928,0.0,588.0
909,0.0,588.0
929,0.0,588.0
932,0.0,588.0
945,0.0,588.0
947,0.0,588.0
949,0.0,588.0
950,0.0,588.0
905,0.0,588.0
952,0.0,588.0
953,0.0,588.0
957,0.0,588.0
904,0.0,588.0
1000,0.0,588.0
1002,0.0,588.0
896,0.0,588.0
1003,0.0,588.0
1036,0.0,588.0
1037,0.0,588.0
1038,0.0,588.0
886,0.0,588.0
1040,0.0,588.0
885,0.0,588.0
1042,0.0,588.0
1043,0.0,588.0
1045,0.0,588.0
1046,0.0,588.0
1047,0.0,588.0
1048,0.0,588.0
1049,0.0,588.0
1052,0.0,588.0
883,0.0,588.0
1034,0.0,588.0
1033,0.0,588.0
1027,0.0,588.0
893,0.0,588.0
1005,0.0,588.0
1008,0.0,588.0
895,0.0,588.0
1011,0.0,588.0
859,0.0,588.0
894,0.0,588.0
892,0.0,588.0
1026,0.0,588.0
1013,0.0,588.0
1020,0.0,588.0
1021,0.0,588.0
1023,0.0,588.0
1025,0.0,588.0
889,0.0,588.0
860,0.0,588.0
570,0.0,588.0
858,0.0,588.0
338,0.0,588.0
315,0.0,588.0
316,0.0,588.0
324,0.0,588.0
330,0.0,588.0
331,0.0,588.0
334,0.0,588.0
339,0.0,588.0
369,0.0,588.0
341,0.0,588.0
347,0.0,588.0
348,0.0,588.0
349,0.0,588.0
359,0.0,588.0
361,0.0,588.0
314,0.0,588.0
313,0.0,588.0
309,0.0,588.0
304,0.0,588.0
303,0.0,588.0
297,0.0,588.0
294,0.0,588.0
293,0.0,588.0
291,0.0,588.0
289,0.0,588.0
287,0.0,588.0
285,0.0,588.0
283,0.0,588.0
278,0.0,588.0
270,0.0,588.0
254,0.0,588.0
251,0.0,588.0
368,0.0,588.0
372,0.0,588.0
243,0.0,588.0
442,0.0,588.0
417,0.0,588.0
420,0.0,588.0
424,0.0,588.0
427,0.0,588.0
433,0.0,588.0
439,0.0,588.0
445,0.0,588.0
373,0.0,588.0
446,0.0,588.0
450,0.0,588.0
454,0.0,588.0
457,0.0,588.0
459,0.0,588.0
464,0.0,588.0
413,0.0,588.0
410,0.0,588.0
407,0.0,588.0
405,0.0,588.0
403,0.0,588.0
401,0.0,588.0
399,0.0,588.0
396,0.0,588.0
395,0.0,588.0
394,0.0,588.0
392,0.0,588.0
391,0.0,588.0
389,0.0,588.0
388,0.0,588.0
385,0.0,588.0
378,0.0,588.0
377,0.0,588.0
244,0.0,588.0
240,0.0,588.0
468,0.0,588.0
72,0.0,588.0
60,0.0,588.0
61,0.0,588.0
68,0.0,588.0
69,0.0,588.0
70,0.0,588.0
71,0.0,588.0
73,0.0,588.0
103,0.0,588.0
75,0.0,588.0
76,0.0,588.0
78,0.0,588.0
84,0.0,588.0
92,0.0,588.0
94,0.0,588.0
59,0.0,588.0
58,0.0,588.0
54,0.0,588.0
50,0.0,588.0
46,0.0,588.0
45,0.0,588.0
44,0.0,588.0
43,0.0,588.0
42,0.0,588.0
41,0.0,588.0
35,0.0,588.0
34,0.0,588.0
33,0.0,588.0
22,0.0,588.0
19,0.0,588.0
16,0.0,588.0
6,0.0,588.0
101,0.0,588.0
112,0.0,588.0
233,0.0,588.0
209,0.0,588.0
182,0.0,588.0
185,0.0,588.0
193,0.0,588.0
194,0.0,588.0
200,0.0,588.0
202,0.0,588.0
213,0.0,588.0
114,0.0,588.0
216,0.0,588.0
217,0.0,588.0
220,0.0,588.0
223,0.0,588.0
225,0.0,588.0
231,0.0,588.0
180,0.0,588.0
178,0.0,588.0
176,0.0,588.0
174,0.0,588.0
171,0.0,588.0
164,0.0,588.0
163,0.0,588.0
153,0.0,588.0
146,0.0,588.0
141,0.0,588.0
138,0.0,588.0
137,0.0,588.0
134,0.0,588.0
133,0.0,588.0
129,0.0,588.0
122,0.0,588.0
118,0.0,588.0
465,0.0,588.0
470,0.0,588.0
857,0.0,588.0
685,0.0,588.0
661,0.0,588.0
665,0.0,588.0
668,0.0,588.0
670,0.0,588.0
676,0.0,588.0
680,0.0,588.0
693,0.0,588.0
732,0.0,588.0
694,0.0,588.0
711,0.0,588.0
715,0.0,588.0
716,0.0,588.0
719,0.0,588.0
720,0.0,588.0
656,0.0,588.0
655,0.0,588.0
654,0.0,588.0
653,0.0,588.0
652,0.0,588.0
651,0.0,588.0
650,0.0,588.0
649,0.0,588.0
647,0.0,588.0
643,0.0,588.0
642,0.0,588.0
641,0.0,588.0
638,0.0,588.0
634,0.0,588.0
633,0.0,588.0
632,0.0,588.0
630,0.0,588.0
724,0.0,588.0
736,0.0,588.0
622,0.0,588.0
845,0.0,588.0
820,0.0,588.0
830,0.0,588.0
831,0.0,588.0
832,0.0,588.0
833,0.0,588.0
837,0.0,588.0
846,0.0,588.0
739,0.0,588.0
847,0.0,588.0
848,0.0,588.0
850,0.0,588.0
851,0.0,588.0
852,0.0,588.0
853,0.0,588.0
817,0.0,588.0
811,0.0,588.0
806,0.0,588.0
789,0.0,588.0
784,0.0,588.0
783,0.0,588.0
782,0.0,588.0
778,0.0,588.0
769,0.0,588.0
767,0.0,588.0
763,0.0,588.0
761,0.0,588.0
760,0.0,588.0
753,0.0,588.0
747,0.0,588.0
745,0.0,588.0
740,0.0,588.0
628,0.0,588.0
619,0.0,588.0
471,0.0,588.0
536,0.0,588.0
520,0.0,588.0
525,0.0,588.0
526,0.0,588.0
527,0.0,588.0
528,0.0,588.0
531,0.0,588.0
537,0.0,588.0
547,0.0,588.0
538,0.0,588.0
539,0.0,588.0
541,0.0,588.0
543,0.0,588.0
544,0.0,588.0
545,0.0,588.0
512,0.0,588.0
510,0.0,588.0
508,0.0,588.0
506,0.0,588.0
505,0.0,588.0
504,0.0,588.0
502,0.0,588.0
499,0.0,588.0
497,0.0,588.0
494,0.0,588.0
491,0.0,588.0
488,0.0,588.0
487,0.0,588.0
481,0.0,588.0
480,0.0,588.0
476,0.0,588.0
474,0.0,588.0
546,0.0,588.0
548,0.0,588.0
618,0.0,588.0
598,0.0,588.0
583,0.0,588.0
585,0.0,588.0
586,0.0,588.0
587,0.0,588.0
588,0.0,588.0
594,0.0,588.0
600,0.0,588.0
551,0.0,588.0
602,0.0,588.0
603,0.0,588.0
608,0.0,588.0
611,0.0,588.0
616,0.0,588.0
617,0.0,588.0
582,0.0,588.0
578,0.0,588.0
577,0.0,588.0
576,0.0,588.0
574,0.0,588.0
573,0.0,588.0
572,0.0,588.0
571,0.0,588.0
568,0.0,588.0
565,0.0,588.0
563,0.0,588.0
560,0.0,588.0
558,0.0,588.0
556,0.0,588.0
554,0.0,588.0
553,0.0,588.0
552,0.0,588.0
1138,0.0,588.0
