Node,Relative Closeness
108,0.23747333017364206
109,0.22824331385005941
110,0.22824331385005941
111,0.263353631791631
112,0.2698543293192358
113,0.3557046438844833
114,0.2801684092896935
115,0.2562559388898758
116,0.3992107594951831
117,0.2582608612736328
118,0.2822246909722246
119,0.3145411218129278
120,0.24108318458267375
121,0.45407808550584255
122,0.2858619375108291
123,0.4115182812977478
124,0.3658031467110964
125,0.49706680657771535
126,0.4434484119521763
127,0.4737519984216001
128,0.4364011256058951
129,0.3361481669690862
130,0.47848466121154715
131,0.34221097349505547
132,0.3025894305860259
133,0.4248514892060534
134,0.3466856874315037
135,0.4838427881927832
136,0.44510309580636287
137,0.40105403636866244
138,0.42247202883829676
139,0.21434205531806702
140,0.21979542905084234
141,0.3412101906464016
142,0.34582053177121036
143,0.25097985213849594
144,0.3017471620941551
145,0.30867368984400534
146,0.2679479606449664
147,0.26636601888316835
148,0.2708517978533906
149,0.27100273066962
150,0.2306228012018859
151,0.3393351547992783
152,0.3510582812595739
153,0.42538749990411134
154,0.35524266832009843
155,0.393993033169626
156,0.2185703492039519
157,0.24104479675109516
158,0.223368060025194
159,0.26187330950606486
160,0.23001595180329681
161,0.2253239536834667
162,0.2760569125139384
163,0.24728638793223692
164,0.16040036997926516
165,0.23978008819871377
166,0.2563701103901638
167,0.22471760742320362
168,0.25078462807926327
169,0.21222069393916165
170,0.16040036997926516
171,0.24594503253963745
172,0.2560661875855507
173,0.2568832404758315
174,0.21273770252100266
175,0.2561391918187142
176,0.2508669533535201
177,0.2972712278759543
178,0.23804939305094666
179,0.24406800039766796
180,0.2200737653077985
181,0.18411607033992566
182,0.2406395694864241
183,0.21907484949565428
184,0.2300658495134247
185,0.26910965496776734
186,0.25144445481730865
187,0.2710466312410229
188,0.23747508540255613
189,0.2543686774754896
190,0.273205370515619
191,0.29297689716911113
192,0.25373083783180406
193,0.3059289212298923
194,0.3285270417788103
195,0.29040163496096755
196,0.3042160178661678
197,0.24493749407790183
198,0.27677145675490394
199,0.2703612681576197
200,0.3098001715927465
201,0.31265615856470563
202,0.2844106465301328
203,0.31109854005661747
204,0.3141127784874424
205,0.3442346721706231
206,0.31591852009055427
207,0.33099806033082285
208,0.34146980978821456
209,0.21698579824554337
210,0.22123887520164917
211,0.22053529070672667
212,0.18087279321298488
213,0.17539988589232097
214,0.29447172175043185
215,0.19018514070929016
216,0.18528351433966567
217,0.12746993489382946
218,0.12746993489382946
219,0.12746993489382946
220,0.12746993489382946
221,0.19284612436971585
222,0.19284612436971585
223,0.19882139788970277
224,0.22520837529101687
225,0.19171098385835061
226,0.19171098385835061
227,0.24680845514158983
228,0.2516857254837096
229,0.22608631520954653
230,0.12702314666999429
231,0.208709377544264
232,0.20097724549793558
233,0.20003282990271454
234,0.20003282990271454
235,0.19954423566413734
236,0.20097724549793558
237,0.12519220570412906
238,0.18608808743843788
239,0.1256073447125923
240,0.07147860831228312
241,0.19884619985539312
242,0.13627841051029793
243,0.2462269711609593
244,0.23728495260766655
245,0.16047909282236322
246,0.21691780951513145
247,0.20025135417753717
248,0.2574520801548211
249,0.25643992652282876
250,0.21647182276466584
251,0.26266237176546015
252,0.21673025520222916
253,0.24607658895496629
254,0.19429876329558654
255,0.2017584989019993
256,0.2000748282511799
257,0.19429876329558654
258,0.13271686140291608
259,0.24100525395198621
260,0.13271686140291608
261,0.13271686140291608
262,0.13271686140291608
263,0.23046966196213406
264,0.23166006514923587
265,0.2728512882131536
266,0.25662720915060394
267,0.18181215103144702
268,0.21046839489263972
269,0.20026306901727461
270,0.14048049867770038
271,0.20002133528508587
272,0.14048049867770038
273,0.20002133528508587
274,0.19967278960771684
275,0.14048049867770038
276,0.2232267097024883
277,0.2232267097024883
278,0.21171405765600634
279,0.13021406595202395
280,0.21171405765600634
281,0.1948765799605073
282,0.24235331659410703
283,0.13021406595202395
284,0.21527014656631274
285,0.222709780271493
286,0.22007689532026525
287,0.26294269342197185
288,0.2716738967275785
289,0.24527983512145163
290,0.21171405765600634
291,0.2554156845407046
292,0.10768606889334296
293,0.14575031562525542
294,0.2413388289213464
295,0.2451522562159737
296,0.14575031562525542
297,0.12447074865519979
298,0.12447074865519979
299,0.12447074865519979
300,0.15111559516271594
301,0.15111559516271594
302,0.23050846336294167
303,0.15111559516271594
304,0.15111559516271594
305,0.20702686705406143
306,0.20702686705406143
307,0.23614636178177287
308,0.15111559516271594
309,0.15111559516271594
310,0.15111559516271594
311,0.15111559516271594
312,0.15111559516271594
313,0.2113085894506502
314,0.15111559516271594
315,0.15111559516271594
316,0.22345213777230646
317,0.15111559516271594
318,0.2386223407646971
319,0.2113085894506502
320,0.24627483841042513
321,0.11403422372431675
322,0.10075156109939756
323,0.0836523654012089
324,0.07057283406571815
325,0.15613999436233023
326,0.07425032776564916
327,0.07500796625263202
328,0.07078100697566664
329,0.171117772347823
330,0.15591188516530458
331,0.15591188516530458
332,0.04798287653113018
